platform,account_name,dv01_id,as_of_date,loan_term_orig,loan_origination_date,loan_payment_date_first_contractual,loan_maturity_date_orig,loan_age,rem_term,fico_orig,home_ownership,inquiries_last_6_months,delinq_accts_2_years,number_tl_open_last_12_months,annual_inc,annual_inc_verified,credit_age,bc_utilization,revolving_utilization,state_borr,employ_status,job_length,loan_purpose,loan_rate_gross_orig,apr,eop_status,dti_orig,loan_grade,loan_ever_modified,loan_balance_orig,eop_balance,loan_payment_scheduled_amt_orig,pti_orig,dti_plus_pti_orig,eop_days_past_due
Prosper,PAR_2026_1,2465129,12/31/2025,60,12/11/2025,1/11/2026,12/11/2030,0,60,680,,,,,,No,,,,,,,Large Purchase,0.2873,0.02394,Current,0.3798,PP-D,0,2000,2000,63.16,,0.3798,0
Prosper,PAR_2026_1,2461074,12/31/2025,60,12/4/2025,1/4/2026,12/4/2030,0,60,707,,,,,,No,,,,,,,Debt Consolidation,0.1875,0.01563,Current,0.322,PP-C,0,18000,18000,464.46,,0.322,0
Prosper,PAR_2026_1,2471298,12/31/2025,60,12/23/2025,1/23/2026,12/23/2030,0,60,661,,,,,,No,,,,,,,Other,0.1837,0.01531,Current,0.1318,PP-C,0,10000,10000,255.95,,0.1318,0
Prosper,PAR_2026_1,2476787,12/31/2025,60,12/31/2025,1/31/2026,12/31/2030,0,60,666,,,,,,No,,,,,,,Debt Consolidation,0.0994,0.00828,Current,0.0346,PP-A,0,6521.03,6521.03,138.36,,0.0346,0
Prosper,PAR_2026_1,2458682,12/31/2025,48,12/1/2025,1/1/2026,12/1/2029,0,48,652,,,,,,No,,,,,,,Debt Consolidation,0.2491,0.02076,Current,0.2564,PP-E,1,10000,10000,331.07,,0.2564,0
Prosper,PAR_2026_1,2467655,12/31/2025,48,12/16/2025,1/16/2026,12/16/2029,0,48,744,,,,,,No,,,,,,,Debt Consolidation,0.0975,0.00813,Current,0.051,PP-A,0,6000,6000,151.46,,0.051,0
Prosper,PAR_2026_1,2474188,12/31/2025,60,12/16/2025,1/16/2026,12/16/2030,0,60,662,,,,,,No,,,,,,,Debt Consolidation,0.1341,0.01118,Current,0.5127,PP-B,0,10000,10000,229.64,,0.5127,0
Prosper,PAR_2026_1,2465976,12/31/2025,60,12/12/2025,1/12/2026,12/12/2030,0,60,718,,,,,,No,,,,,,,Debt Consolidation,0.1268,0.01057,Current,0.212,PP-B,0,8000,8000,180.72,,0.212,0
Prosper,PAR_2026_1,2475776,12/31/2025,60,12/30/2025,1/30/2026,12/30/2030,0,60,701,,,,,,No,,,,,,,Debt Consolidation,0.1038,0.00865,Current,0.1744,PP-A,0,6500,6500,139.32,,0.1744,0
Prosper,PAR_2026_1,2462096,12/31/2025,60,12/8/2025,1/8/2026,12/8/2030,0,60,690,,,,,,No,,,,,,,Debt Consolidation,0.2901,0.02418,Current,0.106,PP-E,0,12220.86,12220.86,387.99,,0.106,0
Prosper,PAR_2026_1,2468072,12/31/2025,60,12/16/2025,1/16/2026,12/16/2030,0,60,760,,,,,,No,,,,,,,Debt Consolidation,0.1425,0.01188,Current,0.2023,PP-B,1,29000,29000,678.54,,0.2023,0
Prosper,PAR_2026_1,2470724,12/31/2025,36,12/22/2025,1/22/2026,12/22/2028,0,36,700,,,,,,No,,,,,,,Other,0.2234,0.01862,Current,0.1086,PP-E,0,6000,6000,230.2,,0.1086,0
Prosper,PAR_2026_1,2458827,12/31/2025,36,12/1/2025,1/1/2026,12/1/2028,0,36,716,,,,,,No,,,,,,,Debt Consolidation,0.137,0.01142,Current,0.2576,PP-B,0,10987.8,10987.8,373.94,,0.2576,0
Prosper,PAR_2026_1,2473286,12/31/2025,60,12/24/2025,1/24/2026,12/24/2030,0,60,681,,,,,,No,,,,,,,Medical Expenses,0.116,0.00967,Current,0.1669,PP-A,0,32400,32400,714.19,,0.1669,0
Prosper,PAR_2026_1,2475699,12/31/2025,48,12/30/2025,1/30/2026,12/30/2029,0,48,693,,,,,,No,,,,,,,Debt Consolidation,0.2355,0.01963,Current,0.0544,PP-D,0,7500,7500,242.65,,0.0544,0
Prosper,PAR_2026_1,2473078,12/31/2025,60,12/16/2025,1/16/2026,12/16/2030,0,60,720,,,,,,No,,,,,,,Debt Consolidation,0.1416,0.0118,Current,0.469,PP-B,0,22525,22525,525.99,,0.469,0
Prosper,PAR_2026_1,2464536,12/31/2025,60,12/11/2025,1/11/2026,12/11/2030,0,60,755,,,,,,No,,,,,,,Other,0.1205,0.01004,Current,0.2672,PP-A,0,5000,5000,111.35,,0.2672,0
Prosper,PAR_2026_1,2467490,12/31/2025,60,12/16/2025,1/16/2026,12/16/2030,0,60,718,,,,,,No,,,,,,,Debt Consolidation,0.1917,0.01598,Current,0.37,PP-C,1,22000,22000,572.75,,0.37,0
Prosper,PAR_2026_1,2465410,12/31/2025,60,12/2/2025,1/2/2026,12/2/2030,0,60,660,,,,,,No,,,,,,,Debt Consolidation,0.2668,0.02223,Current,0.4521,PP-E,1,15000,15000,455.17,,0.4521,0
Prosper,PAR_2026_1,2474811,12/31/2025,60,12/30/2025,1/30/2026,12/30/2030,0,60,679,,,,,,No,,,,,,,Debt Consolidation,0.0807,0.00673,Current,0.233,PP-AA,0,31518.31,31518.31,640.13,,0.233,0
Prosper,PAR_2026_1,2472607,12/31/2025,36,12/16/2025,1/16/2026,12/16/2028,0,36,667,,,,,,No,,,,,,,Home Improvement,0.0809,0.00674,Current,0.0315,PP-AA,0,5000,5000,156.89,,0.0315,0
Prosper,PAR_2026_1,2472653,12/31/2025,60,12/23/2025,1/23/2026,12/23/2030,0,60,731,,,,,,No,,,,,,,Home Improvement,0.1102,0.00918,Current,0.322,PP-A,0,11955.22,11955.22,260.05,,0.322,0
Prosper,PAR_2026_1,2463812,12/31/2025,60,12/9/2025,1/9/2026,12/9/2030,0,60,679,,,,,,No,,,,,,,Debt Consolidation,0.2389,0.01991,Current,0.352,PP-D,1,22219.75,22219.75,637.8,,0.352,0
