vint_moyy,fico_bkt,fico_bkt_coupon
201007,580-620,0.1594
201010,540-580,0.2293
201010,580-620,0.1049
201011,540-580,0.17575
201011,580-620,0.19490000000000002
201011,620-660,0.13345
201011,<540,0.2099
201012,540-580,0.1678333333333333
201012,580-620,0.14636666666666667
201012,620-660,0.1543
201012,660-700,0.1274
201012,<540,0.2484
201101,540-580,0.16845454545454544
201101,580-620,0.12610000000000002
201101,620-660,0.15936666666666666
201101,660-700,0.11156666666666666
201101,740+,0.1362
201101,<540,0.22916
201102,540-580,0.1724125
201102,580-620,0.15130434782608695
201102,620-660,0.15605
201102,660-700,0.1624
201102,740+,0.1137
201102,<540,0.2061590909090909
201103,540-580,0.16726
201103,580-620,0.157885
201103,620-660,0.14657499999999998
201103,660-700,0.11595
201103,700-740,0.1549
201103,740+,0.1179
201103,<540,0.21917857142857144
201104,540-580,0.1798478260869565
201104,580-620,0.14984347826086958
201104,620-660,0.138985
201104,660-700,0.142725
201104,700-740,0.1224
201104,<540,0.20842333333333332
201105,540-580,0.16637222222222223
201105,580-620,0.14254642857142857
201105,620-660,0.12307499999999999
201105,660-700,0.1275
201105,700-740,0.16115000000000002
201105,740+,0.1224
201105,<540,0.19942857142857143
201106,540-580,0.15259032258064514
201106,580-620,0.14809259259259258
201106,620-660,0.1458875
201106,660-700,0.137
201106,700-740,0.1587
201106,740+,0.1712
201106,<540,0.2048
201107,540-580,0.16022903225806454
201107,580-620,0.14607741935483873
201107,620-660,0.13194571428571428
201107,660-700,0.1164625
201107,740+,0.1924
201107,<540,0.21277560975609758
201108,540-580,0.14789428571428573
201108,580-620,0.1343142857142857
201108,620-660,0.1300027027027027
201108,660-700,0.1441714285714286
201108,700-740,0.155175
201108,740+,0.14515
201108,<540,0.19454146341463416
201109,540-580,0.15413947368421055
201109,580-620,0.15147608695652173
201109,620-660,0.12721764705882355
201109,660-700,0.11976363636363638
201109,700-740,0.106275
201109,740+,0.1797
201109,<540,0.2031625
201110,540-580,0.1727
201110,580-620,0.14995333333333333
201110,620-660,0.13829545454545455
201110,660-700,0.12294615384615384
201110,700-740,0.14615
201110,740+,0.115
201110,<540,0.21622380952380954
201111,540-580,0.17074318181818182
201111,580-620,0.15378823529411764
201111,620-660,0.1525810810810811
201111,660-700,0.13089090909090909
201111,700-740,0.1487857142857143
201111,740+,0.12411428571428572
201111,<540,0.20871
201112,540-580,0.16608793103448277
201112,580-620,0.15244912280701756
201112,620-660,0.13165757575757578
201112,660-700,0.11689999999999999
201112,700-740,0.11905
201112,740+,0.1119125
201112,<540,0.19948378378378379
201201,540-580,0.16719615384615386
201201,580-620,0.15256639344262293
201201,620-660,0.14049
201201,660-700,0.128585
201201,700-740,0.11875555555555556
201201,740+,0.12181666666666667
201201,<540,0.19809189189189189
201202,540-580,0.17844915254237287
201202,580-620,0.15134804270462632
201202,620-660,0.1366247619047619
201202,660-700,0.12550714285714287
201202,700-740,0.126545
201202,740+,0.11090799999999999
201202,<540,0.2076306068601583
201203,540-580,0.1796964560862866
201203,580-620,0.1621032608695652
201203,620-660,0.15019721669980118
201203,660-700,0.13300866666666666
