Status	term	grade	C	D1M	D2M	D3M	D4M	PIF	LIQ
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
C	36	4.0-6.9	1.0	2.542000	1.0	1.0	1.0	1.770000	1.0
			1.0	3.641000	1.0	1.0	1.0	1.770000	1.0
			1.0	1.451000	1.0	1.0	1.0	1.770000	1.0
			1.0	1.891000	1.0	1.0	1.0	1.770000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.770000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.770000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.770000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.770000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
